question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
Select the word that is opposite in meaning to 'FRUGAL':,Thrifty,Economical,Spendthrift,Careful,C,English,,Frugal means sparing or economical with money or food. Its antonym is 'Spendthrift' meaning one who spends recklessly.
The correctly spelt word is:,Excedingly,Exceedingly,Exceadingly,Exceedingly,B,English,,The correct spelling is 'Exceedingly' (from 'exceed' + 'ingly').
He has been working _____ morning.,from,since,for,by,B,English,Use 'since' for point of time use 'for' for duration,'Since' is used to indicate a specific point in time when an action started. 'Morning' is a specific point in time.
The doctor _____ the patient very carefully.,examines,examined,is examine,was examine,B,English,Past tense narrative,In a past narrative we use simple past tense. 'Examined' is correct.
Find the synonym of 'EPHEMERAL':,Eternal,Lasting,Short-lived,Timeless,C,English,,Ephemeral means lasting for a very short time. Its synonym is 'Short-lived'.
Which sentence uses 'fewer' correctly?,There are less students today.,There are fewer students today.,We have less time.,She made less mistakes.,B,English,'Fewer' for countable nouns 'less' for uncountable,Use 'fewer' for countable nouns (students). 'There are fewer students today' is correct.
Identify the adjective in: 'The tall boy ran fast.',The,tall,ran,fast,B,English,An adjective modifies a noun,'Tall' is an adjective as it modifies (describes) the noun 'boy'.
Select the indirect speech: 'The teacher said Follow the rules.',The teacher told to follow the rules.,The teacher said to follow the rules.,The teacher told that follow rules.,The teacher said follow the rules.,B,English,For commands use 'said to + infinitive',For imperatives/commands in indirect speech: use said to + infinitive. 'The teacher said to follow the rules.'
Under Article 21 the Right to Life has been expanded by the Supreme Court to include:,Right to die,Right to education and livelihood,Right to vote,Right to property,B,Legal Aptitude,,The Supreme Court has expansively interpreted Article 21 to include rights such as right to livelihood right to education right to health right to privacy etc.
The President of India is elected by:,Direct election,Members of Parliament only,Members of Parliament and State Assemblies,Members of Rajya Sabha only,C,Legal Aptitude,,The President is elected by an electoral college consisting of elected members of both Houses of Parliament and elected members of State Legislative Assemblies.
Which article of the Constitution provides for a uniform civil code?,Article 42,Article 43,Article 44,Article 45,C,Legal Aptitude,,Article 44 of the Directive Principles of State Policy directs the State to endeavour to secure a Uniform Civil Code for the citizens throughout the territory of India.
LPG in the context of Indian economy stands for:,Liquefied Petroleum Gas,Liberalisation Privatisation Globalisation,Liberal Progressive Growth,Legal Privatisation Guidelines,B,GK & Current Affairs,,In economic context LPG stands for Liberalisation Privatisation and Globalisation — the three major components of India's 1991 economic reforms.
The headquarters of INTERPOL is located in:,Paris,London,Vienna,Lyon,D,GK & Current Affairs,,The headquarters of INTERPOL (International Criminal Police Organization) is located in Lyon France.
Who developed the polio vaccine?,Jonas Salk,Alexander Fleming,Louis Pasteur,Edward Jenner,A,GK & Current Affairs,,Jonas Salk developed the first successful inactivated polio vaccine which was announced in 1955.
What is the name of India's fastest supercomputer operational as of 2023?,PARAM Siddhi-AI,PARAM Shakti,PARAM Ananta,PARAM Ganga,A,GK & Current Affairs,,PARAM Siddhi-AI is India's fastest supercomputer. It was developed by C-DAC under India's National Supercomputing Mission.
The Cabinet Mission Plan was presented in:,1942,1944,1946,1947,C,GK & Current Affairs,,The Cabinet Mission arrived in India in March 1946 and presented its plan on 16 May 1946 to discuss and finalize arrangements for the transfer of power to India.
What is the percentage of nitrogen in the Earth's atmosphere?,21%,59%,78%,0.9%,C,GK & Current Affairs,,Earth's atmosphere consists of approximately 78% nitrogen 21% oxygen and about 1% other gases.
Which state has the largest number of districts in India?,Uttar Pradesh,Madhya Pradesh,Maharashtra,Rajasthan,A,GK & Current Affairs,,Uttar Pradesh has the largest number of districts in India with 75 districts.
